Capacity;Nb couriers;Vehicle distance;Avg_tour_distance
   1.00000; 200.00000;  29.47000;   1.42398
   2.00000; 101.00000;  29.47000;   1.78931
   3.00000;  68.00000;  29.47000;   2.13349
   4.00000;  53.00000;  29.47000;   2.39696
   5.00000;  42.00000;  29.47000;   2.69538
   6.00000;  37.00000;  29.47000;   2.84397
   7.00000;  31.00000;  29.47000;   3.35355
   8.00000;  28.00000;  29.47000;   3.57690
   9.00000;  24.00000;  29.47000;   3.99597
  10.00000;  23.00000;  29.47000;   4.08409
  11.00000;21;  29.47000;4.67959078
  12.00000;  20.00000;  29.47000;   4.91601
  13.00000;  19.00000;  29.47000;   4.83093
  14.00000;  17.00000;  29.47000;   5.08236
  15.00000;  16.00000;  29.47000;   5.46950
  16.00000;  15.00000;  29.47000;   6.07457
  17.00000;  14.00000;  29.47000;   6.50386
  18.00000;  13.00000;  29.47000;   6.45464
  19.00000;  13.00000;  29.47000;   6.91672
  20.00000;  12.00000;  29.47000;   7.21125